b2,b1,b0,a2,a1,a0,,c2,c1,c0
0,0,0,0,0,0,,0,0,0
0,0,0,0,0,1,,0,0,1
0,0,0,0,1,0,,0,1,0
0,0,0,0,1,1,,0,1,1
0,0,0,1,0,0,,1,0,0
0,0,0,1,0,1,,1,0,1
0,0,0,1,1,0,,1,1,0
0,0,0,1,1,1,,X,X,X
0,0,1,0,0,0,,0,0,1
0,0,1,0,0,1,,0,1,0
0,0,1,0,1,0,,0,1,1
0,0,1,0,1,1,,1,0,0
0,0,1,1,0,0,,1,0,1
0,0,1,1,0,1,,1,1,0
0,0,1,1,1,0,,0,0,0
0,0,1,1,1,1,,X,X,X
0,1,0,0,0,0,,0,1,0
0,1,0,0,0,1,,0,1,1
0,1,0,0,1,0,,1,0,0
0,1,0,0,1,1,,1,0,1
0,1,0,1,0,0,,1,1,0
0,1,0,1,0,1,,0,0,0
0,1,0,1,1,0,,0,0,1
0,1,0,1,1,1,,X,X,X
0,1,1,0,0,0,,0,1,1
0,1,1,0,0,1,,1,0,0
0,1,1,0,1,0,,1,0,1
0,1,1,0,1,1,,1,1,0
0,1,1,1,0,0,,0,0,0
0,1,1,1,0,1,,0,0,1
0,1,1,1,1,0,,0,1,0
0,1,1,1,1,1,,X,X,X
1,0,0,0,0,0,,1,0,0
1,0,0,0,0,1,,1,0,1
1,0,0,0,1,0,,1,1,0
1,0,0,0,1,1,,0,0,0
1,0,0,1,0,0,,0,0,1
1,0,0,1,0,1,,0,1,0
1,0,0,1,1,0,,0,1,1
1,0,0,1,1,1,,X,X,X
1,0,1,0,0,0,,1,0,1
1,0,1,0,0,1,,1,1,0
1,0,1,0,1,0,,0,0,0
1,0,1,0,1,1,,0,0,1
1,0,1,1,0,0,,0,1,0
1,0,1,1,0,1,,0,1,1
1,0,1,1,1,0,,1,0,0
1,0,1,1,1,1,,X,X,X
1,1,0,0,0,0,,1,1,0
1,1,0,0,0,1,,0,0,0
1,1,0,0,1,0,,0,0,1
1,1,0,0,1,1,,0,1,0
1,1,0,1,0,0,,0,1,1
1,1,0,1,0,1,,1,0,0
1,1,0,1,1,0,,1,0,1
1,1,0,1,1,1,,X,X,X
1,1,1,0,0,0,,X,X,X
1,1,1,0,0,1,,X,X,X
1,1,1,0,1,0,,X,X,X
1,1,1,0,1,1,,X,X,X
1,1,1,1,0,0,,X,X,X
1,1,1,1,0,1,,X,X,X
1,1,1,1,1,0,,X,X,X
1,1,1,1,1,1,,X,X,X
